Tweet,Publication Date
"An estimated 40% of Papua New Guinea’s annual budget was lost to corruption in 2014. W/ #DKaid’s funding of our innovation facility &amp; @dfat’s aid to 📱Against Corruption, citizens reported corruption via SMS. 500 cases were uncovered as a result. #BuildPeace https://t.co/TJIT8j5lMF",Sat Apr 06 23:00:08 +0000 2019
"RT @UN: 25 years after the genocide against the Tutsi in Rwanda, see the faces and hear the stories of survivors on Sunday's International…",Sat Apr 06 22:34:20 +0000 2019
RT @UNDP_SDGs: 70% of grasslands are in a degraded state in #Mongolia due to livestock herding. A new @UNDP GEF program estimates that revi…,Sat Apr 06 22:34:10 +0000 2019
"Jindar kept working to treat patients as Iraqis fled ISIS in 2014. Today she’s back to provide #Health4All. With #IraqStabilization aid from @USAID &amp; @AFD_en, @undpiniraq &amp; the 🇮🇶 govt has rebuilt this hospital to #BuildPeace in Iraq. #WorldHealthDay https://t.co/hvZuluiFOU",Sat Apr 06 21:00:09 +0000 2019
Rwanda today is an example of how rapid post-war reconstruction can create a more peaceful future.  Its generation of youth account for ~40% of the population. @YouthConnekt prepares young entrepreneurs will skills to build their communities. #Youth2030 https://t.co/7ZU5oaO93s,Sat Apr 06 16:16:31 +0000 2019
Natalia &amp; other parents weren’t happy w/ the quality of school lunches in comparison to the cost to taxpayers. The fight for better nutrition &amp; healthier food for kids also sparked an #opendata movement for transparency to end corruption in Ukraine. https://t.co/yw0zHuACcV,Sat Apr 06 14:01:22 +0000 2019
"Zambia is 1 of the world’s most forested countries but its🌳 are disappearing as populations 🔼. Charcoal &amp; firewood = 70% of 🇿🇲 energy use. The govt aims to 🔽 🔥use by 40% #By2030. W/ @theGEF, we’re supporting 🌳 &amp; #greenenergy in 🇿🇲. #ClimateAction https://t.co/nMGhoF8UqL",Sat Apr 06 10:47:03 +0000 2019
"Glaciers are melting rapidly in this 🏔 village in Pakistan. Until now, washing &amp; even farming were all collected on foot by women, widening gender gaps. Now more girls’ school attendance is ⏫ &amp; women have more time for 💰 work. #Climate4All https://t.co/6vwf5YB0J4",Sat Apr 06 07:05:04 +0000 2019
"Calling all conservationists, scientists, agripreneurs &amp; professionals interested in learning how to finance &amp; make sustainable biz cases for #GoodGrowth. Register for the world’s 1st free #MOOC on #biodiversity financing! https://t.co/dgkinW6Acf https://t.co/CJQmbEvAfd",Sat Apr 06 04:05:02 +0000 2019
"Enter by 8 April to win the assignment of a lifetime. Eight winning journalists will travel to the 🇵🇪 #AmazonRainforest to interview the 🍫☕ farmers &amp; producers tackling deforestation from our Green Commodities Programme 👉 ⁣https://t.co/AokpV5kkF5  
#GoodGrowth https://t.co/kBxr0LEqUI",Sat Apr 06 03:20:00 +0000 2019
One of our #SocialImpactBond feasibility studies includes an #impactbond to reduce rhino 🦏 poaching in 🇿🇦 South Africa. Our #Finance4Dev expert @gailmlhurley unpacks the ways we’re innovating #SDGs acceleration with these #SIBs. https://t.co/78sucFTTjX,Sat Apr 06 02:15:05 +0000 2019
"RT @UNDPEurasia: Perpetrators of gun violence
◾️ 99% Men
◾️ 1% Women

Victims of gun violence
◾️ 79% Men
◾️ 21% Women

Spread the data &amp; he…",Sat Apr 06 00:41:42 +0000 2019
"#SustDev leads to a more just, healthy, &amp; prosperous world.
In 2018, @UNDP_BD's impact in Bangladesh included:
✔️ 116,400 people received justice from village courts
✔️ 2,270 households in off-grid areas now connected to #solarpower
✔️ 155,872 people lifted out of poverty 
#SDGs https://t.co/lpV3inwiVM",Fri Apr 05 21:39:02 +0000 2019
"Our Goodwill Ambassador @nikolajcw recently traveled to #Rwanda🇷🇼 to commemorate the nation's transformative journey to peace. #Kwibuka25 #PreventGenocide
https://t.co/wjX319Yijf",Fri Apr 05 20:05:43 +0000 2019
"As the 6th largest contributor to our #IraqStabilization work in Iraq, #Denmark is a vital leader to #BuildPeace, resilience, strengthen #HumanRights, &amp; democracy for Iraqis who are rebuilding lives after liberation from ISIS. #DKAid #DKPol https://t.co/BewvAjYwMU",Fri Apr 05 17:36:19 +0000 2019
"#DigitalTransformation = demand for work but women are often locked out of the tech jobs sector. Nino developed a peace app w/ @UNDPGeorgia &amp; @EuropeAid. As a @Google @WomenTechmakers leader in Georgia, she trains #WomeninTech to close the #gendergap. https://t.co/ontitE5xVM",Fri Apr 05 14:24:26 +0000 2019
"How can a #socialimpactbond reduce the poaching of rhinoceros🦏? 
Our #Fin4Dev guru @GailHurley explains the emerging #FinTech trend of govts' &amp; the @UN's entry into international #ImpactBonds or #SIBs. #FFDForum
https://t.co/78sucFTTjX",Fri Apr 05 09:00:18 +0000 2019
"Located in Uganda, #BidiBidi is 2nd largest refugee settlement in the world. Funded by @MofaJapan_en,  @UNDPUganda's #Cash4Work w/ @VEDCOUG, &amp; @WorldVision offers work for refugees to build vital 🚰🚽🚧 services to #BuildPeace. #Standup4HumanRights 
https://t.co/DrTaWHgG9I",Fri Apr 05 08:00:18 +0000 2019
